customer_id,tenure_months,monthly_charge,total_charge,data_usage_gb,call_minutes,support_calls,contract_type
48,34,85.7,2696.25,90.91,258,1,Two year
49,55,127.82,6068.57,34.02,585,10,One year
50,21,116.36,2481.45,43.34,89,1,Month-to-month
51,20,90.93,2001.15,58.67,656,6,Month-to-month
52,6,60.07,403.56,79.82,213,5,Month-to-month
53,32,106.7,3264.52,56.43,1714,9,Two year
54,20,140.35,2585.31,17.09,775,6,Month-to-month
55,23,115.75,2528.22,93.15,1066,4,Month-to-month
56,14,69.73,841.13,47.6,867,7,One year
57,40,126.67,5631.23,23.07,841,6,One year
58,36,132.37,5432.78,28.63,2136,6,Two year
59,69,63.05,3733.9,87.83,1119,2,Two year
60,34,24.97,873.58,35.22,1334,6,Two year
61,66,35.03,2589.07,19.82,231,6,Month-to-month
62,67,140.32,9509.89,72.22,857,5,One year
63,9,143.35,1453.01,62.69,560,4,Two year
64,40,106.7,4045.44,70.02,2320,2,Month-to-month
65,54,106.44,5539.37,75.07,762,9,Two year
66,39,72.79,3123.02,31.08,910,6,Two year
67,42,80.45,3320.27,22.16,1988,2,Two year
68,11,56.89,656.55,62.31,432,3,Two year
69,40,49.2,1790.37,3.42,1052,7,Two year
70,10,79.2,883.75,57.99,1622,7,One year
71,32,39.18,1324.33,89.37,486,6,Month-to-month
72,23,124.53,3032.53,46.99,2333,3,Month-to-month
73,59,37.33,2179.11,53.58,2339,9,One year
74,57,99.64,6053.09,50.97,2294,7,Month-to-month
75,61,78.51,5150.85,84.15,1185,8,One year
76,31,55.7,1507.83,29.29,1162,5,One year
77,70,30.48,1910.1,38.92,675,3,Month-to-month
78,54,72.99,3991.85,42.16,897,6,One year
79,3,131.38,425.54,38.66,74,5,One year
80,50,130.95,7438.15,42.48,2286,9,Month-to-month
81,63,48.52,2997.92,3.87,1426,10,Two year
82,52,114.14,6541.58,92.03,2237,0,One year
83,4,30.91,120.99,86.82,794,0,One year
84,49,62.56,3023.78,34.41,1602,4,One year
85,33,128.54,4204.03,75.15,263,5,Month-to-month
86,9,121.56,1143.85,75.67,1062,3,Month-to-month
87,20,51.01,1012.11,12.32,942,7,Two year
88,33,119.7,3556.42,61.12,519,2,One year
89,14,95.23,1504.76,58.0,1587,6,Two year
90,26,29.88,821.31,63.1,467,4,Two year
91,16,123.51,2015.25,5.07,2232,6,Two year
92,48,28.96,1451.61,2.25,1770,7,Month-to-month
93,56,144.9,8444.46,83.04,676,6,Month-to-month
94,67,145.51,9076.72,81.01,2254,7,One year
95,56,127.35,7329.45,32.91,1055,1,One year
96,58,51.7,2966.85,61.42,1602,5,Month-to-month
97,64,130.62,7561.76,22.0,1108,5,One year
98,36,92.25,3337.57,19.91,1038,6,One year
99,72,118.56,9024.45,64.94,2060,7,Month-to-month
100,12,58.25,678.95,25.09,2432,5,One year
101,71,89.02,6179.17,74.85,1404,5,Two year
102,59,55.22,3015.0,12.94,838,5,Month-to-month
103,69,143.61,10474.39,19.96,2033,4,Two year
104,68,97.58,7591.96,83.43,1263,3,One year
105,23,59.29,1448.77,13.53,236,0,Two year
106,38,110.66,3733.62,86.98,2060,1,Month-to-month
107,37,81.02,2944.2,19.25,260,4,One year
108,15,126.88,1846.51,8.33,269,2,Month-to-month
109,39,31.07,1120.19,56.25,1754,9,Two year
110,29,120.84,3378.6,90.94,1267,9,One year
111,40,93.92,3261.16,96.05,456,3,Two year
112,28,54.4,1331.82,24.75,2310,1,Month-to-month
113,1,73.11,77.26,47.52,183,3,One year
114,37,111.39,4064.59,69.05,1133,10,Two year
115,26,75.27,1983.18,65.12,1138,2,Month-to-month
116,8,41.57,313.37,75.15,2381,4,One year
117,16,80.93,1218.78,40.85,1165,8,Two year
118,64,76.91,5067.01,89.05,1370,9,One year
119,4,31.87,145.15,83.76,2406,9,Month-to-month
120,35,94.91,3584.05,18.34,2175,10,One year
121,36,43.59,1609.41,63.84,2064,1,One year
122,45,73.09,3112.49,11.36,708,5,One year
123,64,57.47,4169.32,81.54,2303,0,One year
124,12,60.89,691.94,97.05,1705,8,Month-to-month
125,70,80.06,4854.7,52.33,2091,10,One year
126,7,46.46,330.02,92.84,1844,7,Month-to-month
127,4,146.51,605.18,24.69,698,4,Two year
128,2,91.79,161.18,99.23,514,7,Month-to-month
129,20,84.79,1805.99,51.38,1169,6,One year
130,61,51.69,3201.58,38.98,2131,2,Month-to-month
131,36,120.45,4797.24,34.65,2129,4,Month-to-month
132,37,114.39,4660.93,58.41,2055,2,One year
133,69,82.96,5436.49,76.52,1595,7,One year
134,25,147.5,3398.55,38.91,1732,0,One year
135,61,111.68,7448.92,39.22,673,7,Month-to-month
136,17,85.3,1489.33,87.1,1853,1,Two year
137,59,22.0,1159.43,87.22,682,1,One year
138,34,64.01,2302.16,65.33,1395,10,Two year
139,49,144.04,7326.44,88.86,2048,8,Month-to-month
140,9,50.52,479.83,29.45,981,1,One year
141,13,118.85,1639.56,10.95,731,4,Month-to-month
142,6,62.17,323.35,36.49,1814,2,Month-to-month
143,68,73.57,5275.61,18.83,767,1,Two year
144,49,100.56,4544.33,91.37,636,3,One year
145,33,79.74,2763.13,89.99,1955,4,Two year
146,70,40.54,2788.19,35.21,2456,4,Two year
147,55,109.74,5957.54,30.91,1625,7,Month-to-month
148,31,69.58,2065.71,30.29,1259,0,Two year
149,51,55.68,2895.85,68.89,250,9,Two year
150,64,128.27,9201.62,77.8,992,9,One year
151,29,102.76,3088.12,68.1,610,10,Month-to-month
152,6,60.16,354.55,58.38,588,1,One year
153,42,117.17,4442.27,14.08,2259,5,Two year
154,65,138.75,9912.88,26.44,2023,4,Two year
155,44,124.55,5428.13,8.45,974,10,Two year
156,51,145.75,8112.47,37.21,1666,0,One year
157,69,36.07,2390.71,75.15,1123,9,One year
158,48,34.08,1505.21,3.48,2349,5,Two year
159,29,104.19,3144.25,46.96,1287,10,One year
160,15,38.17,649.2,31.13,2067,1,Month-to-month
161,31,135.34,3736.96,45.91,2262,6,Two year
162,20,135.1,2827.58,83.54,1721,4,Month-to-month
163,48,48.25,2277.57,24.38,1535,1,Two year
164,48,90.78,4982.09,36.51,1680,4,Month-to-month
165,16,143.37,2517.02,10.08,918,10,Two year
166,3,26.58,75.76,98.89,2362,3,Month-to-month
167,71,46.93,3048.09,87.1,1395,2,Two year
168,1,56.05,64.19,98.77,2262,4,Month-to-month
169,15,105.94,1363.03,2.47,1024,9,One year
170,3,42.65,110.77,74.43,2204,1,Two year
171,9,81.91,798.68,51.81,496,7,Two year
172,29,142.9,3576.4,78.54,2185,4,One year
173,4,27.91,110.94,40.76,492,7,Two year
174,57,29.55,1472.52,61.22,319,2,One year
175,71,112.58,7707.59,60.14,1257,7,Two year
176,56,32.89,1953.33,85.43,2308,3,One year
177,58,135.45,7652.97,82.91,1683,6,Two year
178,13,60.63,743.86,26.23,675,10,One year
179,9,31.86,251.07,43.76,1576,2,Two year
180,8,96.24,784.14,33.63,550,6,One year
181,55,132.85,7791.32,96.87,1329,5,Month-to-month
182,65,47.66,3243.57,23.2,493,5,Two year
183,48,34.94,1565.71,23.39,1807,8,Two year
184,72,23.41,1902.49,83.12,1145,0,Month-to-month
185,35,111.35,3673.92,34.64,75,2,Month-to-month
186,52,29.05,1619.8,97.21,425,8,Month-to-month
187,49,74.58,3479.99,37.64,1378,9,Two year
188,11,134.83,1329.88,75.69,253,10,Month-to-month
189,35,77.6,2654.09,61.1,1746,4,Month-to-month
190,66,34.8,2248.51,29.04,2479,7,Two year
191,40,25.9,1003.45,60.33,81,3,One year
192,28,119.76,3619.02,29.66,541,0,One year
193,56,42.84,2312.82,70.66,2099,8,Two year
194,46,29.37,1497.65,5.19,126,7,Month-to-month
195,41,94.85,3974.48,71.24,1760,4,Month-to-month
196,52,22.71,1118.84,80.33,1934,5,Month-to-month
197,56,129.78,6708.03,59.3,2196,1,One year
198,40,116.95,4287.25,78.13,362,8,Two year
199,15,88.98,1212.14,77.85,1488,10,Month-to-month
200,31,33.36,958.45,18.18,676,10,Month-to-month
201,23,143.67,3431.25,46.93,2359,9,One year
202,42,132.35,5770.85,15.94,329,7,One year
203,39,123.52,4949.4,35.84,353,4,One year
204,58,24.89,1386.77,29.42,419,9,Two year
205,65,69.98,4658.32,95.47,218,7,Two year
206,25,61.8,1533.7,15.94,303,7,Month-to-month
207,44,147.71,5688.78,64.97,210,3,Two year
208,57,148.83,8544.56,61.37,1540,5,One year
209,50,73.14,3479.67,60.19,1420,1,One year
210,13,92.54,1162.08,25.95,665,5,Month-to-month
211,19,139.18,2493.87,65.95,1655,2,Two year
212,11,60.25,638.23,79.37,573,10,Two year
213,68,32.15,2298.0,51.34,124,5,One year
214,24,143.65,3283.91,76.85,836,3,Month-to-month
215,20,30.03,662.66,11.01,2260,8,Month-to-month
216,44,133.93,6101.58,60.13,681,2,Month-to-month
217,22,113.75,2159.93,37.07,1022,7,Two year
218,37,117.81,4730.09,24.17,1029,4,One year
219,25,67.82,1922.93,98.46,1941,4,One year
220,65,88.57,6562.35,81.87,616,4,Month-to-month
221,62,133.64,8421.25,11.16,2163,1,One year
222,11,119.21,1221.93,90.63,653,6,Month-to-month
223,29,126.17,4081.13,93.12,1749,0,One year
224,65,68.61,4307.35,9.08,969,0,One year
225,13,129.09,1753.67,79.35,613,0,One year
226,61,110.49,6009.54,70.85,1887,9,Month-to-month
227,11,22.47,226.09,15.8,2211,6,Month-to-month
228,37,50.89,1669.32,24.61,1922,1,Month-to-month
229,64,97.58,5339.14,52.02,1040,2,One year
230,55,20.2,1061.94,57.5,817,10,Two year
231,11,88.05,928.05,95.39,2278,8,Two year
232,71,22.64,1787.47,5.31,1634,5,One year
233,3,66.42,173.41,24.87,474,9,Two year
234,43,37.34,1534.47,34.52,767,10,One year
235,62,102.13,6923.79,7.25,1924,0,One year
236,26,25.69,607.72,5.15,1320,8,One year
237,70,81.54,4914.34,65.04,1221,5,Month-to-month
238,43,55.52,2601.75,44.26,1688,7,One year
239,44,146.58,6442.17,50.25,2176,4,Month-to-month
240,55,30.26,1715.45,82.41,2284,4,One year
241,14,30.41,446.29,31.34,1795,2,Two year
242,57,65.7,3230.75,87.13,1494,9,One year
243,36,103.13,4037.33,6.68,1713,5,Two year
244,21,143.86,2697.3,61.15,1844,0,Month-to-month
245,9,50.68,475.98,36.85,2373,0,Two year
246,20,108.28,2457.19,37.83,364,9,Month-to-month
247,68,67.7,4347.25,28.59,514,0,Two year
248,24,84.88,1968.05,56.61,1122,4,Two year
249,58,47.89,2870.85,69.7,2061,3,Month-to-month
250,18,130.87,2321.77,89.97,1873,1,Two year
251,41,106.82,4654.93,55.45,1239,4,Month-to-month
252,23,123.18,2840.58,13.01,873,2,Month-to-month
253,64,23.42,1523.17,37.52,2309,2,Two year
254,12,28.55,332.13,71.98,2010,8,One year
255,53,127.03,5871.66,97.27,353,7,One year
256,67,64.79,4833.14,78.25,2457,2,Month-to-month
257,56,85.37,5308.82,83.31,2172,2,One year
258,22,41.06,1021.13,23.32,2175,4,Month-to-month
259,33,45.52,1707.81,28.17,1290,9,Two year
260,12,85.33,922.17,94.22,681,2,Two year
261,44,129.53,5808.09,82.7,166,1,Month-to-month
262,34,104.65,3843.06,42.24,174,7,Two year
263,70,57.66,4589.14,48.81,1713,4,One year
264,10,109.52,982.86,42.15,1952,3,One year
265,19,60.64,1227.64,73.69,1464,6,Month-to-month
266,48,86.95,3680.51,24.93,551,4,One year
267,32,38.31,1060.64,94.59,1762,3,Month-to-month
268,42,141.39,6332.32,19.79,702,7,Two year
269,60,84.84,4798.02,3.29,1660,8,One year
270,31,47.97,1421.44,6.0,2077,9,Two year
271,61,57.15,2971.78,11.64,598,4,Two year
272,47,119.3,5381.59,40.66,2385,8,Month-to-month
273,47,91.92,3767.51,50.92,2302,4,Two year
274,16,36.73,516.57,37.95,1438,8,One year
275,19,45.88,874.11,50.51,235,0,Month-to-month
276,43,124.52,5385.41,15.75,2161,2,One year
277,41,41.13,1934.53,74.19,1275,9,One year
278,65,127.68,8379.72,71.17,1277,7,Month-to-month
279,48,63.06,2672.38,42.24,1310,10,Month-to-month
280,61,54.52,3480.96,97.23,2419,9,Month-to-month
281,7,95.86,604.69,63.27,1607,2,Two year
282,32,24.1,874.9,11.88,127,7,One year
283,54,39.69,2265.75,41.63,1981,0,Two year
284,18,87.43,1602.49,99.81,2009,8,One year
285,41,144.37,5847.54,53.78,2287,5,Two year
286,34,99.31,3064.82,25.41,2335,4,Month-to-month
287,39,120.25,4978.03,69.33,2052,5,One year
288,45,92.86,4723.38,72.44,1228,1,Two year
289,70,69.36,5554.58,82.02,649,4,Month-to-month
290,37,144.19,4661.26,92.48,1100,7,Month-to-month
291,26,127.63,3090.54,56.64,1162,2,Month-to-month
292,31,51.52,1678.49,53.57,1003,0,Month-to-month
293,53,62.94,3308.2,68.44,613,0,Two year
294,21,72.9,1730.7,87.96,2005,10,Month-to-month
295,37,61.75,2384.75,90.89,416,10,Two year
296,30,89.57,2866.96,93.73,767,6,Month-to-month
297,5,149.63,725.03,50.04,1235,0,Month-to-month
298,39,93.84,3228.6,98.32,1215,7,Two year
299,70,88.16,6891.86,14.29,2115,7,One year
300,25,125.15,2969.83,73.38,1103,2,Month-to-month
301,44,122.8,5513.07,75.97,768,9,Two year
302,52,127.51,6660.92,9.59,440,2,Month-to-month
303,62,62.07,3557.46,26.82,1014,7,One year
304,43,59.25,2718.1,2.13,1522,3,Month-to-month
305,16,80.5,1156.51,68.92,1323,1,Two year
306,38,67.78,2359.94,95.78,2008,2,One year
307,48,74.06,3607.39,47.61,2251,10,Month-to-month
308,32,108.44,3569.83,78.95,2202,7,Two year
309,47,30.15,1444.33,7.11,2293,8,Month-to-month
310,69,39.48,2583.65,52.51,526,10,Month-to-month
311,63,31.82,2010.9,81.06,1907,2,Two year
312,54,79.38,3717.79,46.78,1312,0,One year
313,33,126.14,4469.58,58.25,235,6,One year
314,9,90.35,705.88,89.53,1983,0,One year
315,53,43.4,2048.62,64.51,1771,5,One year
316,58,133.05,8658.59,38.19,2258,2,Two year
317,45,35.42,1829.56,39.91,571,3,Month-to-month
318,3,147.2,436.7,72.19,1787,8,One year
319,30,52.18,1493.15,28.29,512,0,Two year
320,54,99.94,6103.04,89.02,1035,3,Month-to-month
321,13,97.21,1243.42,67.53,249,3,Two year
322,6,72.29,399.17,22.51,281,2,Two year
323,38,50.44,2156.15,58.03,2415,9,Two year
324,42,50.8,2374.44,98.58,2185,3,One year
325,39,55.77,2212.04,59.58,767,10,Two year
326,55,92.26,4384.53,35.1,1611,8,One year
327,54,73.07,3708.9,19.2,2253,7,Month-to-month
328,29,59.1,1820.63,80.77,286,8,One year
329,54,92.45,4444.28,25.04,882,5,Two year
330,11,139.89,1699.04,10.15,830,0,One year
331,49,107.58,5434.18,87.49,820,9,Two year
332,72,48.21,3167.98,90.8,1291,0,Month-to-month
333,25,145.07,3210.38,99.96,2011,3,Two year
334,27,71.56,1781.03,32.84,1209,6,One year
335,69,104.33,6785.03,36.6,2086,7,Month-to-month
336,61,119.01,6868.1,21.11,1331,6,Month-to-month
337,29,116.36,2884.69,55.78,2442,9,Two year
338,54,58.37,2864.7,23.77,2383,3,One year
339,71,105.1,7875.9,26.48,2051,10,Two year
340,63,79.91,5385.89,35.87,623,8,One year
341,24,139.2,3383.03,64.54,290,8,Month-to-month
342,10,142.87,1500.8,76.67,1739,2,Two year
343,30,28.84,774.62,22.65,1917,5,Month-to-month
344,62,105.71,5601.85,53.69,1734,0,Month-to-month
345,68,113.89,7827.55,29.38,2107,10,One year
346,23,33.91,685.48,15.74,836,9,Two year
347,33,125.98,3867.15,40.29,1578,6,One year
348,32,148.73,4367.94,68.72,380,10,Two year
349,5,32.16,154.98,55.72,279,10,Month-to-month
350,22,30.75,746.58,64.85,1406,9,Month-to-month
351,68,139.49,8716.34,90.23,2371,7,One year
352,6,140.14,887.36,28.76,2274,9,Two year
353,5,43.32,239.37,2.55,898,9,Month-to-month
354,51,140.75,6746.0,56.83,2371,6,Two year
355,70,63.12,4757.22,14.86,371,8,Two year
356,45,26.98,1191.19,84.03,1445,9,Two year
357,51,145.96,7056.23,63.78,1895,7,Month-to-month
358,46,91.89,4068.97,19.39,2449,10,One year
359,11,120.38,1242.89,25.4,351,1,One year
360,20,69.4,1506.21,16.27,1645,5,One year
361,14,31.9,505.95,45.03,1154,1,Month-to-month
362,12,44.36,524.15,55.92,1721,1,Month-to-month
363,12,66.01,695.42,60.21,1378,6,Month-to-month
364,38,73.8,3039.27,72.76,2341,3,Two year
365,67,42.05,2716.54,14.75,1283,4,One year
366,19,28.22,525.67,42.69,2033,1,One year
367,33,142.75,5022.93,50.08,850,7,Month-to-month
368,18,59.61,1217.45,33.89,1606,5,One year
369,43,75.98,3584.25,65.45,2484,2,One year
370,42,98.42,4375.82,48.42,777,6,One year
371,38,115.53,4565.18,96.81,1042,5,One year
372,36,126.14,4395.18,12.27,2359,3,Two year
373,70,43.39,3281.15,3.66,1940,3,One year
374,38,128.07,4237.63,84.93,1725,10,One year
375,18,102.33,1699.39,66.21,1783,6,Month-to-month
376,58,148.79,8576.06,40.68,2125,6,Two year
377,5,122.79,588.08,89.65,2249,9,Two year
378,11,34.22,347.99,66.8,731,10,Two year
379,6,93.22,583.66,65.03,1408,6,Month-to-month
380,2,32.82,60.17,74.94,2335,9,Two year
381,29,77.95,2186.72,77.46,2460,8,Month-to-month
382,45,149.7,6701.68,30.25,401,1,Two year
383,19,65.28,1181.93,78.64,2184,7,One year
384,61,32.69,2126.89,45.79,325,4,Month-to-month
385,15,22.94,327.9,11.83,723,3,Two year
386,23,91.75,2003.25,43.21,1942,3,One year
387,24,44.23,1111.62,40.16,858,7,Two year
388,55,70.55,4118.58,21.37,306,9,Month-to-month
389,69,44.3,2897.13,46.3,1124,10,One year
390,68,145.57,9344.64,39.48,1657,9,Month-to-month
391,45,65.76,2921.79,18.08,1268,9,Two year
392,11,107.37,1114.88,24.62,529,2,One year
393,19,86.41,1601.52,14.65,1621,6,Month-to-month
394,63,102.62,6840.23,64.88,759,8,Month-to-month
395,63,57.55,3285.31,84.36,269,5,Month-to-month
396,63,37.75,2603.15,96.42,2120,10,One year
397,53,109.01,5631.3,84.15,2051,2,Month-to-month
398,4,123.46,452.44,4.24,970,8,One year
399,22,121.5,2725.65,77.48,2078,8,Two year
400,15,94.45,1318.1,54.77,1552,8,Month-to-month
